seriesUrl,seriesTitle,seriesAbbrev,seriesLetter,playoffRound,topSeedRank,topSeedRankAbbrev,topSeedWins,bottomSeedRank,bottomSeedRankAbbrev,bottomSeedWins,winningTeamId,losingTeamId,seriesLogo,seriesLogoFr,season,topSeedTeam_id,topSeedTeam_abbrev,topSeedTeam_logo,topSeedTeam_darkLogo,topSeedTeam_name.default,topSeedTeam_name.fr,topSeedTeam_commonName.default,topSeedTeam_placeNameWithPreposition.default,topSeedTeam_placeNameWithPreposition.fr,bottomSeedTeam_id,bottomSeedTeam_abbrev,bottomSeedTeam_logo,bottomSeedTeam_darkLogo,bottomSeedTeam_name.default,bottomSeedTeam_name.fr,bottomSeedTeam_commonName.default,bottomSeedTeam_placeNameWithPreposition.default,bottomSeedTeam_placeNameWithPreposition.fr,bottomSeedTeam_commonName.fr,topSeedTeam_commonName.fr,conferenceAbbrev,conferenceName
/schedule/playoff-series/1948/series-i/redwings-vs-mapleleafs,Stanley Cup Final,SCF,I,2,1,L1,4,2,L2,0,10.0,17.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1948,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_19321933-19471948_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,,,,
/schedule/playoff-series/1949/series-a/canadiens-vs-redwings,Semifinals,SF,A,1,1,L1,4,3,L3,3,17.0,8.0,,,1949,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,,,,
/schedule/playoff-series/1949/series-b/mapleleafs-vs-bruins,Semifinals,SF,B,1,2,L2,1,4,L4,4,10.0,6.0,,,1949,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19481949_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19481949-19541955_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,,,,
/schedule/playoff-series/1949/series-i/mapleleafs-vs-redwings,Stanley Cup Final,SCF,I,2,1,L1,0,4,L4,4,10.0,17.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1949,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,,,,
/schedule/playoff-series/1950/series-a/mapleleafs-vs-redwings,Semifinals,SF,A,1,1,L1,4,3,L3,3,17.0,10.0,,,1950,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,,,,
/schedule/playoff-series/1950/series-b/canadiens-vs-rangers,Semifinals,SF,B,1,4,L4,4,2,L2,1,3.0,8.0,,,1950,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_19471948-19511952_light.svg,https://assets.nhle.com/logos/nhl/svg/NYR_19471948-19511952_dark.svg,New York Rangers,Rangers de New York,Rangers,New York,de New York,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,,,,
/schedule/playoff-series/1950/series-i/rangers-vs-redwings,Stanley Cup Final,SCF,I,2,1,L1,4,4,L4,3,17.0,3.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1950,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,3,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_19471948-19511952_light.svg,https://assets.nhle.com/logos/nhl/svg/NYR_19471948-19511952_dark.svg,New York Rangers,Rangers de New York,Rangers,New York,de New York,,,,
/schedule/playoff-series/1951/series-a/canadiens-vs-redwings,Semifinals,SF,A,1,1,L1,2,3,L3,4,8.0,17.0,,,1951,17,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,Detroit Red Wings,Red Wings de Detroit,Red Wings,Detroit,de Detroit,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,,,,
/schedule/playoff-series/1951/series-b/bruins-vs-mapleleafs,Semifinals,SF,B,1,2,L2,4,4,L4,1,10.0,6.0,,,1951,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,6,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19491950-19941995_light.svg,https://assets.nhle.com/logos/nhl/svg/BOS_19481949-19541955_dark.svg,Boston Bruins,Bruins de Boston,Bruins,Boston,de Boston,,,,
/schedule/playoff-series/1951/series-i/canadiens-vs-mapleleafs,Stanley Cup Final,SCF,I,2,2,L2,4,3,L3,1,10.0,8.0,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,https://assets.nhle.com/logos/playoffs/png/sc-banner.png,1951,10,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_light.svg,https://assets.nhle.com/logos/nhl/svg/TOR_19381939-19621963_dark.svg,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,Toronto,de Toronto,8,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_light.svg,https://assets.nhle.com/logos/nhl/svg/MTL_19471948-19551956_dark.svg,Montréal Canadiens,Canadiens de Montréal,Canadiens,Montréal,de Montréal,,,,
